kamar;bangunan;lahan;harga
3;75;84;599000000
2;72;96;1300000000
2;60;90;1200000000
3;516;1000;6000000000
2;36;50;175100000
2;30;60;350000000
3;240;104;3200000000
5;300;400;6400000000
4;320;240;3400000000
2;60;95;890000000
4;150;81;790000000
3;100;180;549000000
2;90;168;300000000
4;80;50;750000000
5;150;150;2450000000
3;160;120;1000000000
4;200;224;1800000000
4;200;200;3025000000
8;213;905;7200000000
2;38;77;405000000
3;102;85;675000000
24;600;300;3750000000
3;60;65;485000000
3;60;90;1073205000
3;450;315;3950000000
4;150;190;1300000000
5;300;208;3900000000
4;114;120;1100000000
6;450;350;4700000000
5;450;300;4500000000
3;116;193;2400000000
4;240;167;3200000000
4;270;250;3250000000
2;38;63;389000000
2;80;70;750000000
3;100;126;1450000000
3;125;315;3493728000
5;450;399;6000000000
2;36;50;175002000
2;60;157;976000000
3;171;157;3500000000
0;36;50;317000000
5;250;200;2800000000
2;45;60;425000000
2;36;50;175069200
3;90;102;875000000
4;450;502;4800000000
5;180;110;1100000000
3;200;240;2250000000
4;250;143;1700000000
4;110;145;2400000000
4;200;300;5000000000
3;100;167;1250000000
7;440;467;4350000000
6;190;350;3900000000
2;50;36;142000000
2;42;112;750000000
2;30;60;150500000
6;317;475;3300000000
5;170;100;1250000000
5;300;232;2700000000
4;210;568;17000000000
4;250;200;3200000000
4;156;156;3200000000
3;120;117;1163000000
2;72;96;685000000
3;65;170;1200000000
4;197;123;2250000000
4;240;162;1200000000
3;83;91;1100000000
4;200;117;1200000000
2;40;84;1202400000
3;81;58;975000000
18;750;164;5500000000
2;85;70;710000000
2;60;72;425000000
4;400;400;5500000000
2;36;60;349000000
5;350;283;2500000000
4;156;160;3200000000
2;40;84;1100000000
3;60;108;1100000000
2;45;65;665000000
5;160;294;3200000000
2;70;105;1500000000
8;323;250;3250000000
3;120;110;1095000000
6;450;635;19500000000
7;180;177;3300000000
6;200;154;3200000000
4;147;77;1750000000
3;85;60;1100000000
2;36;36;160001000
2;51;91;1000000000
4;300;105;3125000000
3;145;95;1100000000
3;150;108;2000000000
4;315;144;3100000000
4;250;198;3100000000
4;180;291;3495000000
7;400;440;3200000000
2;36;114;617990000
2;45;86;550000000
3;210;220;2500000000
3;300;500;3100000000
3;45;72;630000000
4;248;223;3300000000
3;325;250;3300000000
4;100;180;2650000000
4;250;177;1900000000
4;154;92;1400000000
5;420;600;8000000000
4;140;88;1000000000
4;100;164;1500000000
2;65;72;650000000
5;300;158;950000000
7;550;972;6500000000
3;260;160;3000000000
6;400;374;6500000000
3;140;180;1250000000
3;100;168;1750000000
2;89;160;1200000000
3;69;99;1149660000
3;171;225;1700000000
5;400;300;4800000000
3;185;111;1750000000
2;62;90;455000000
2;250;369;3400000000
3;170;347;3200000000
3;89;107;1200000000
4;325;300;6750000000
3;100;100;1850000000
4;340;400;3500000000
2;51;60;472000000
4;160;413;1250000000
2;36;72;325000000
5;270;120;3300000000
2;30;50;140000000
3;70;126;1700000000
5;294;179;1300000000
6;260;164;1950000000
5;160;112;950000000
2;36;72;327000000
7;216;160;1500000000
2;125;315;3500000000
37;600;494;4500000000
2;60;84;475000000
4;230;168;2650000000
2;60;70;790000000
3;132;112;3000000000
2;100;77;1300000000
3;150;94;975000000
2;50;60;525000000
3;200;295;6750000000
5;250;907;9000000000
4;155;125;2650000000
3;110;140;800000000
3;60;83;1072000000
4;290;142;3300000000
3;155;120;1350000000
2;36;62;630000000
2;40;64;375000000
2;90;90;850000000
4;160;167;1450000000
2;45;72;535000000
3;45;96;696000000
3;47;63;461000000
4;127;126;2650000000
2;80;91;625000000
4;192;96;1300000000
4;200;136;1350000000
3;50;60;480000000
4;160;167;1450000000
3;160;120;2900000000
5;120;140;2200000000
4;190;94;1400000000
2;80;111;750000000
4;340;531;6300000000
2;36;50;175003200
3;100;80;1200000000
2;36;50;176000000
11;175;200;3200000000
3;250;104;2650000000
4;102;105;1370000000
3;136;180;3250000000
3;130;105;850000000
4;220;185;1700000000
4;90;100;1100000000
4;200;152;1950000000
2;30;60;361000000
4;600;417;3300000000
3;100;110;900000000
2;36;60;200000000
3;200;125;650000000
3;135;70;1500000000
4;500;550;4750000000
5;242;300;3300000000
3;180;204;2500000000
4;155;125;2350000000
3;170;111;2800000000
5;120;177;1000000000
3;58;90;1523200000
3;70;100;985000000
3;100;218;1200000000
3;100;114;1150000000
5;200;120;995000000
3;90;110;850000000
5;600;467;15000000000
7;270;122;2000000000
2;36;60;250000000
4;145;125;2375000000
4;140;104;1500000000
2;65;60;650000000
4;550;450;10000000000
2;80;120;475000000
3;120;160;1675000000
37;745;1540;43000000000
3;195;191;3051000000
3;62;78;650000000
4;300;215;3900000000
2;30;55;475000000
0;546;295;12500000000
3;50;51;710000000
2;65;60;657000000
5;200;239;2500000000
4;330;198;3100000000
5;148;352;10000000000
3;100;180;549000000
2;30;60;325000000
2;42;72;474000000
4;200;480;3499999999
4;200;255;2300000000
3;72;101;2300000000
5;350;398;12500000000
4;100;75;900000000
5;1200;761;8000000000
7;350;410;9800000000
4;600;800;38000000000
2;45;100;615000000
3;97;162;1550000000
3;120;250;890000000
3;70;102;675000000
3;100;100;1250000000
3;210;230;3200000000
4;275;204;3000000000
4;420;580;7000000000
3;120;134;1200000000
8;350;465;3200000000
9;350;202;1100000000
4;220;117;2300000000
0;120;91;1235000000
7;325;242;3900000000
2;80;130;1250000000
5;146;303;3250000000
4;300;420;8500000000
4;400;300;3600000000
8;224;178;1700000000
4;650;900;43000000000
2;80;144;1800000000
4;350;210;2800000000
